x,y,z
1.32E+02,1.68E+02,3.91E+01
1.66E+02,1.05E+02,3.89E+01
1.74E+02,1.02E+02,4.06E+01
6.26E+01,1.08E+02,3.99E+01
8.93E+01,1.56E+02,4.12E+01
1.05E+02,3.03E+01,4.07E+01
8.07E+01,5.27E+01,4.14E+01
9.50E+01,8.02E+01,4.08E+01
1.17E+02,1.80E+02,4.27E+01
1.60E+02,1.23E+02,4.07E+01
1.77E+02,1.29E+02,4.24E+01
1.01E+02,1.48E+02,4.12E+01
1.06E+02,1.66E+02,4.12E+01
1.32E+02,3.50E+01,4.42E+01
1.57E+02,9.69E+01,4.44E+01
1.81E+02,1.10E+02,4.34E+01
4.77E+01,1.24E+02,4.39E+01
1.30E+02,9.65E+01,3.81E+01
6.60E+01,9.77E+01,4.58E+01
1.52E+02,1.37E+02,4.53E+01
4.95E+01,8.86E+01,4.40E+01
6.61E+01,8.58E+01,4.36E+01
8.99E+01,5.79E+01,4.68E+01
1.28E+02,1.53E+02,4.75E+01
1.34E+02,1.44E+02,4.76E+01
1.47E+02,1.63E+02,4.88E+01
1.62E+02,1.30E+02,4.50E+01
5.82E+01,8.01E+01,4.84E+01
7.32E+01,6.54E+01,4.66E+01
7.18E+01,7.95E+01,4.70E+01
1.19E+02,1.51E+02,4.46E+01
1.50E+02,1.07E+02,4.26E+01
6.05E+01,9.17E+01,4.84E+01
6.68E+01,6.94E+01,4.52E+01
1.20E+02,8.42E+01,4.62E+01
1.22E+02,1.33E+02,4.67E+01
5.53E+01,1.08E+02,4.84E+01
1.11E+02,9.18E+01,4.64E+01
1.24E+02,4.33E+01,4.96E+01
1.31E+02,2.35E+01,4.94E+01
1.46E+02,8.91E+01,4.91E+01
7.33E+01,1.56E+02,4.94E+01
9.00E+01,9.16E+01,4.90E+01
1.06E+02,8.55E+01,4.94E+01
1.02E+02,1.37E+02,5.10E+01
4.32E+01,1.42E+02,4.58E+01
8.67E+01,3.53E+01,4.21E+01
9.08E+01,1.00E+02,4.85E+01
1.12E+02,1.27E+02,4.81E+01
1.48E+02,7.07E+01,4.72E+01
1.23E+02,1.42E+02,5.19E+01
1.39E+02,8.74E+01,5.09E+01
5.83E+01,1.02E+02,5.39E+01
7.15E+01,1.18E+02,5.18E+01
8.01E+01,1.80E+02,5.48E+01
9.75E+01,8.80E+01,5.08E+01
1.28E+02,1.29E+02,5.13E+01
1.32E+02,9.26E+01,5.16E+01
9.86E+01,1.25E+02,5.38E+01
1.07E+02,1.01E+02,5.11E+01
1.12E+02,1.44E+02,5.46E+01
1.31E+02,5.13E+01,5.23E+01
1.32E+02,7.80E+01,5.19E+01
1.46E+02,1.46E+02,5.40E+01
5.32E+01,1.54E+02,5.15E+01
6.76E+01,1.68E+02,5.09E+01
9.61E+01,1.65E+02,5.52E+01
1.09E+02,1.53E+02,5.48E+01
1.14E+02,1.36E+02,5.62E+01
1.13E+02,1.16E+02,5.51E+01
1.24E+02,1.12E+02,5.53E+01
1.52E+02,5.81E+01,5.59E+01
5.65E+01,6.62E+01,5.55E+01
6.63E+01,1.44E+02,4.65E+01
1.29E+02,6.18E+01,5.18E+01
1.44E+02,1.27E+02,5.29E+01
1.42E+02,4.21E+01,5.37E+01
1.54E+02,8.77E+01,5.47E+01
1.61E+02,5.50E+01,5.46E+01
4.27E+01,1.13E+02,5.39E+01
7.27E+01,5.69E+01,5.42E+01
8.14E+01,8.17E+01,5.69E+01
9.29E+01,1.78E+02,5.53E+01
1.11E+02,7.71E+01,5.30E+01
